date,year,permno,ticker,ret,ret_pred,me_last_year
2019-10-31,2019,15408,KHC,0.1573296040296554,0.007789536235906815,921890881.8408966
2019-10-31,2019,21936,PFE,0.0679097846150398,0.007788947303254813,96621336.6845398
2019-10-31,2019,14008,AMGN,0.1020102649927139,0.007788102294321825,68461389.79249637
2019-11-30,2019,15408,KHC,-0.0442314185202121,0.009225275205342446,921890881.8408966
2019-11-30,2019,18413,SLGG,-0.301272988319397,0.00871838098401042,504164.6069469452
2019-11-30,2019,16851,DWDP,-0.0121378554031252,0.008640141453432348,106481757.53612328
2019-11-30,2019,89393,NFLX,0.0948122888803482,0.008347229535119769,71187850.44200897
2019-11-30,2019,18321,THOR,0.3027656376361847,0.008304412547764647,5687034.165940046
2019-11-30,2019,60628,FDX,0.0484082214534282,0.008263932402811942,59981357.750504814
2019-11-30,2019,34833,OXY,-0.0476543270051479,0.008262054180384457,65123386.11391386
2019-11-30,2019,75825,EOG,0.022940469905734,0.008231447613535215,133843115.5895602
2019-11-30,2019,57665,NKE,0.0467336103320121,0.008227887221139117,305726117.9442304
2019-11-30,2019,12060,GE,0.1292586177587509,0.008226146116979919,50832507.78503927
2019-12-31,2019,15408,KHC,0.0534426569938659,0.008235272837134232,921890881.8408966
2019-12-31,2019,57665,NKE,0.0836453065276146,0.0078200413860922,305726117.9442304
2019-12-31,2019,87055,COST,-0.0196457225829362,0.007812620264343604,73270619.12644577
2019-12-31,2019,12490,IBM,-0.0030494881793856,0.007806460287116116,84547497.51960246
2019-12-31,2019,59328,INTC,0.0310077387839555,0.007799920916934735,95264314.1452802
2019-12-31,2019,14008,AMGN,0.0270535368472337,0.007799473750350176,68461389.79249637
2019-12-31,2019,13407,FB,0.017903197556734,0.00779833045097289,120907590.41973941
2019-12-31,2019,12308,CHTR,0.0320630967617034,0.007798239354671045,85088362.65170364
2019-12-31,2019,90319,GOOG,0.0270687211304903,0.007797002344355253,124922077.34407552
2019-12-31,2019,10145,HON,-0.0086810588836669,0.007796810776219164,976717967.7019316
2020-01-31,2020,40539,TJX,-0.0330822207033634,0.00817712536647114,69883628.97550201
2020-01-31,2020,18729,CL,0.0780070126056671,0.008164518372839992,1369979.8641620874
2020-01-31,2020,87447,UPS,-0.1156671866774559,0.008162428468973944,83770643.91785686
2020-01-31,2020,87055,COST,0.0394664369523525,0.008153559135487785,69955450.83943431
2020-01-31,2020,10104,ORCL,-0.0054737408645451,0.008152378034846343,168641074.88515854
2020-01-31,2020,57665,NKE,-0.0494521223008632,0.00815206404391254,358899945.33072215
2020-01-31,2020,61399,LOW,-0.0247996337711811,0.008147069574905207,51111537.95246506
2020-01-31,2020,48725,UNP,-0.0075778258033096,0.008146893054438102,326015980.80522794
2020-01-31,2020,66157,USB,-0.102378137409687,0.008146230478718005,224802714.74266306
2020-01-31,2020,22592,MMM,-0.1006688252091407,0.008146215461059036,379574533.71585846
2020-02-29,2020,57665,NKE,-0.0693147033452987,0.008790298924677028,358899945.33072215
2020-02-29,2020,70519,C,-0.1471576988697052,0.008783402857944041,77823578.20951875
2020-02-29,2020,38703,WFC,-0.1188751682639122,0.008780855656838754,64263280.98251661
2020-02-29,2020,14008,AMGN,-0.0681324079632759,0.008778292468033615,45541244.24554364
2020-02-29,2020,87055,COST,-0.0776707753539085,0.008777545316521924,69955450.83943431
2020-02-29,2020,76076,CSCO,-0.1313900500535965,0.008776906035007385,196013411.40939078
2020-02-29,2020,17478,SPGI,-0.0924318432807922,0.008776640528503596,82712700.25022666
2020-02-29,2020,66157,USB,-0.1273957639932632,0.008775544495932866,224802714.74266306
2020-02-29,2020,10145,HON,-0.058596022427082,0.00877512013049209,1434344747.0470593
2020-02-29,2020,86868,GS,-0.1502838879823684,0.008770185133863682,70362735.5032959
2020-03-31,2020,17478,SPGI,-0.0784475952386856,0.008787501038863136,82712700.25022666
2020-03-31,2020,70519,C,-0.3362748324871063,0.008783710762741656,77823578.20951875
2020-03-31,2020,57665,NKE,-0.0742895454168319,0.008783654571900251,358899945.33072215
2020-03-31,2020,10145,HON,-0.1750015765428543,0.008772895160158658,1434344747.0470593
2020-03-31,2020,87055,COST,0.0141921816393733,0.008772436771786267,69955450.83943431
2020-03-31,2020,38703,WFC,-0.2974295616149902,0.008771932729598246,64263280.98251661
2020-03-31,2020,66157,USB,-0.2491386383771896,0.008771677158562027,224802714.74266306
2020-03-31,2020,60097,MDT,-0.0988377705216407,0.008768786803201544,230096279.14951435
2020-03-31,2020,60442,PNC,-0.2427215129137039,0.008768625892736326,137522454.43107224
2020-03-31,2020,14008,AMGN,0.0150202773511409,0.008767112510803221,45541244.24554364
2020-04-30,2020,70519,C,0.1528965532779693,0.008785096001506317,77823578.20951875
2020-04-30,2020,60097,MDT,0.0826125219464302,0.008776039944697358,230096279.14951435
2020-04-30,2020,22752,MRK,0.0311930570751428,0.008775665205457315,90748239.25496292
2020-04-30,2020,22111,JNJ,0.1442079395055771,0.00876275800683719,202813879.5144237
2020-04-30,2020,87055,COST,0.065128169953823,0.008754155502477913,69955450.83943431
2020-04-30,2020,14008,AMGN,0.1799931228160858,0.00875220902728304,45541244.24554364
2020-04-30,2020,19393,BMY,0.0990312099456787,0.008742101289121517,14486305.613057818
2020-04-30,2020,65875,VZ,0.0806812047958374,0.008739029091163215,66717981.61344528
2020-04-30,2020,18163,PG,0.0787336602807045,0.008737714421095975,101865618.17998956
2020-04-30,2020,13407,FB,0.2272781878709793,0.008736881568480792,110584460.68304634
2020-05-31,2020,66157,USB,-0.0257533863186836,0.008960599545095314,224802714.74266306
2020-05-31,2020,17005,CVS,0.0653127655386924,0.008831982109569946,39734748.371800855
2020-05-31,2020,83443,BRK,-0.0095004206523299,0.008827848692399786,77072056.28619893
2020-05-31,2020,22752,MRK,0.017393559217453,0.008812982480017799,90748239.25496292
2020-05-31,2020,12490,IBM,0.0077254218049347,0.00880549080572623,111998434.24058788
2020-05-31,2020,60442,PNC,0.0690916180610656,0.008805205727350484,137522454.43107224
2020-05-31,2020,18163,PG,-0.0165436882525682,0.008802430875319052,101865618.17998956
2020-05-31,2020,22111,JNJ,-0.0018661244539543,0.00880200837609419,202813879.5144237
2020-05-31,2020,60097,MDT,0.0097306631505489,0.008798380602105775,230096279.14951435
2020-05-31,2020,87055,COST,0.0180528089404106,0.008797827076208443,69955450.83943431
2020-06-30,2020,12060,GE,0.0410958528518676,0.011030939003836069,192141233.97344938
2020-06-30,2020,19561,BA,0.2567706108093261,0.01088404874708463,37614354.88823827
2020-06-30,2020,38703,WFC,-0.032867357134819,0.01065709425285444,64263280.98251661
2020-06-30,2020,18578,KTB,0.218194231390953,0.010582735302084555,74329380.56995647
2020-06-30,2020,66157,USB,0.0472440458834171,0.010377479647161151,224802714.74266306
2020-06-30,2020,70519,C,0.0665831491351127,0.010051309455106648,77823578.20951875
2020-06-30,2020,16851,DD,0.0473093166947364,0.009916865240910087,118436061.13460095
2020-06-30,2020,11850,XOM,-0.0164943914860487,0.009611178779923813,212671674.98473072
2020-06-30,2020,13928,COP,-0.0037932633422315,0.00946293383125979,76460413.25648022
